accuracy,loss,val_accuracy,val_loss
0.8105041980743408,0.5431018471717834,0.8964285850524902,0.32821524143218994
0.8850840330123901,0.32619789242744446,0.9166666865348816,0.26817235350608826
0.9060924649238586,0.27462947368621826,0.9261904954910278,0.23814523220062256
0.9193277359008789,0.24235814809799194,0.9297618865966797,0.21823376417160034
0.9260504245758057,0.21867935359477997,0.9333333373069763,0.20348156988620758
0.9327731132507324,0.20000645518302917,0.9357143044471741,0.19189850986003876
0.9384453892707825,0.1846521943807602,0.9392856955528259,0.18250159919261932
0.9422268867492676,0.17167015373706818,0.9440476298332214,0.1747148483991623
0.9476890563964844,0.16047537326812744,0.9464285969734192,0.1681337058544159
0.951260507106781,0.15066853165626526,0.9476190209388733,0.16250425577163696
0.9579831957817078,0.12823835015296936,0.9595237970352173,0.1280461847782135
0.9703781604766846,0.09428560733795166,0.9595237970352173,0.11381198465824127
0.9804621934890747,0.07136869430541992,0.9642857313156128,0.10341109335422516
0.9884454011917114,0.05390528216958046,0.9702380895614624,0.09469477087259293
0.9922268986701965,0.040279194712638855,0.9714285731315613,0.0877365991473198
0.9951680898666382,0.02963586337864399,0.9750000238418579,0.08232796937227249
0.9970588088035583,0.021510614082217216,0.9797618985176086,0.07844867557287216
0.9985294342041016,0.01540920790284872,0.9809523820877075,0.07614418119192123
0.999369740486145,0.010895897634327412,0.9809523820877075,0.07528200000524521
0.9995798468589783,0.007678460795432329,0.9809523820877075,0.07479680329561234
