accuracy,loss,val_accuracy,val_loss
0.47605040669441223,1.1146252155303955,0.5916666388511658,1.0041719675064087
0.6046218276023865,0.9355441927909851,0.6297619342803955,0.9168012142181396
0.6817227005958557,0.794840395450592,0.7154762148857117,0.6909246444702148
0.7308823466300964,0.6723666191101074,0.675000011920929,0.703022837638855
0.7546218633651733,0.6089085936546326,0.7345238327980042,0.590582013130188
0.7682772874832153,0.5814289450645447,0.761904776096344,0.5524513721466064
0.7737395167350769,0.5583563446998596,0.7845237851142883,0.506007730960846
0.778781533241272,0.5383045673370361,0.7976190447807312,0.47952210903167725
0.7939075827598572,0.5122831463813782,0.8047618865966797,0.4811303913593292
0.797478973865509,0.5028442740440369,0.8202381134033203,0.44284534454345703
0.797478973865509,0.49570024013519287,0.8202381134033203,0.43632903695106506
0.8029412031173706,0.4741511046886444,0.8107143044471741,0.44518548250198364
0.8126050233840942,0.45628687739372253,0.8333333134651184,0.4032805562019348
0.8149159550666809,0.4569706618785858,0.8321428298950195,0.40646177530288696
0.819327712059021,0.44377774000167847,0.8464285731315613,0.39671385288238525
0.8273109197616577,0.4247319996356964,0.8297619223594666,0.4013495445251465
0.8306722640991211,0.41260719299316406,0.8583333492279053,0.36193180084228516
0.8384453654289246,0.4071029722690582,0.8523809313774109,0.3763914108276367
0.8388655185699463,0.40366166830062866,0.8738095164299011,0.3470883369445801
0.8514705896377563,0.38077470660209656,0.8773809671401978,0.33505550026893616
