accuracy,loss,val_accuracy,val_loss
0.4653361439704895,1.1309374570846558,0.4952380955219269,1.0665502548217773
0.6138655543327332,0.9261475801467896,0.5357142686843872,1.0265092849731445
0.6619747877120972,0.833975613117218,0.6821428537368774,0.8533334136009216
0.6909663677215576,0.7803705334663391,0.7142857313156128,0.7481523752212524
0.7245798110961914,0.7065030932426453,0.7083333134651184,0.7076749801635742
0.7243697643280029,0.6790093183517456,0.7547619342803955,0.617104172706604
0.7342436909675598,0.6541102528572083,0.7583333253860474,0.6114222407341003
0.7378151416778564,0.647442638874054,0.7440476417541504,0.6315680146217346
0.750630259513855,0.6159068942070007,0.7809523940086365,0.5490312576293945
0.7495798468589783,0.6093251705169678,0.7809523940086365,0.5596755743026733
0.7609243988990784,0.5924946665763855,0.7833333611488342,0.5438287854194641
0.769957959651947,0.5751980543136597,0.8071428537368774,0.49109935760498047
0.7655462026596069,0.5818622708320618,0.8047618865966797,0.5160435438156128
0.777521014213562,0.5497469902038574,0.8190476298332214,0.48328685760498047
0.7806722521781921,0.5502485036849976,0.8190476298332214,0.5079135298728943
0.7806722521781921,0.5423732995986938,0.8107143044471741,0.4954138696193695
0.7876050472259521,0.5291193723678589,0.8202381134033203,0.4866292178630829
0.7892857193946838,0.5174856781959534,0.813095211982727,0.48085904121398926
0.7962185144424438,0.514687716960907,0.8297619223594666,0.450772762298584
0.8031512498855591,0.49483221769332886,0.8297619223594666,0.4669119119644165
